"Rows from: systek_raw_rows","id","company_key","name","domain","clean_domain","orgnr","proff_url","profit_before_tax","turnover","industry","company_size","location","created_at","updated_at"
,,"erus.no","Erus","https://www.erus.no","erus.no","919 545 240","https://www.proff.no/selskap/erus-encodia-as/n%C3%B8tter%C3%B8y/it-konsulenter-og-r%C3%A5dgivning/IF7H1NC03DC","Resultat ff8r skatt2024 1 403","Sum driftsinntekter2024 11 680","IT-konsulenter og re5dgivning , Konsulenter","6","Øvre Slottsgate 27, 0157 Oslo","2025-12-30 09:39:58.05+00",
,,"globetech.no","GLOBETECH AS","https://globetech.no/","globetech.no","917999929","https://www.proff.no/selskap/globetech-as/kristiansand-s/datakommunikasjon-og-nettverk/IF6JXA1009M","NOK 22 294 (beløp i 1000 NOK, 2024)","NOK 92 814 (beløp i 1000 NOK, 2024)","Datakommunikasjon og nettverk","34","Stadionveien 21, 4632 Kristiansand S","2025-12-24 09:39:58.447+00",
,,"fjellinjen.no","Fjellinjen AS","https://www.fjellinjen.no/om-oss/jobbe-hos-oss","fjellinjen.no","941 856 543","https://www.proff.no/selskap/fjellinjen-as/oslo/offentlig-administrasjon/IFKR95R10JX","Resultat før skatt 2024 4 251 683 (Beløp i 1000)","Sum driftsinntekter 2024 4 680 189 (Beløp i 1000)","Offentlig administrasjon","28","Schweigaards gate 16, 0191 Oslo","2025-12-30 09:39:58.05+00",
,,"vippsmobilepay.com","Vipps MobilePay","https://vippsmobilepay.com/","vippsmobilepay.com","918 713 867","https://www.proff.no/selskap/vipps-mobilepay-as/oslo/finans/IF6Z85N0RSY","-750 957 000 NOK (2024)","1 707 026 000 NOK (2024)","Finans","330","Robert Levins Gate 5, Oslo, Norway, 0150 Oslo","2025-12-29 09:39:58.199+00",
,,"nesadvantage.com","NES Advantage","https://www.nesadvantage.com/","nesadvantage.com","984 909 020","https://www.proff.no/selskap/nes-advantage-solutions-as/fornebu/utleie-og-leasing/IGAE0NW01TD","32 892 (in 1000 NOK, 2024)","1 923 291 (in 1000 NOK, 2024)","No data","656","Butangen 20, 4639 Kristiansand S","2025-12-30 09:39:58.05+00",
,,"norwegian.com","Norwegian","https://www.norwegian.com/","norwegian.com","965 920 358","https://www.proff.no/selskap/norwegian-air-shuttle-asa/lysaker/passasjertransport/IFZ30X210K3","NOK 1,663,000,000 (2024) — displayed on Proff as 'Resultat ff8r skatt2024 1 663 000' (Belf8p i 1000)","NOK 932,000,000 (2024) — displayed on Proff as 'Sum driftsinntekter2024 932 000' with 'Belf8p i 1000'","Passasjertransport","204","Oksenøyveien 3, 1366 Lysaker","2025-12-24 09:39:58.447+00",
,,"sinecsystems.no","Sinec Systems AS","https://www.sinecsystems.no/","sinecsystems.no","825 219 102","https://www.proff.no/selskap/sinec-systems-as/%C3%A5lesund/dataprogramvare-og-utvikling/IDNBB4U009O","−1 599 (Beløp i 1000 NOK) (2024)","0 (Beløp i 1000 NOK) (2024)","Dataprogramvare og -utvikling","7","Langelandsvegen 17, 6010 Ålesund","2025-12-31 09:39:58.37+00",
,,"pon-cat.com","Zeppelin Construction Equipment Norway AS","https://www.pon-cat.com/no","pon-cat.com","","","","","","0","Bølerveien 60, 2021 Skedsmokorset","2025-12-23 09:39:58.726+00",
,,"origo-solutions.com","Origo Solutions AS","https://www.origo-solutions.com/","origo-solutions.com","982 726 247","https://www.proff.no/selskap/origo-solutions-as/kristiansand-s/elektronikkproduksjon-og-utstyr/IG938FB10N0","55 827 (Beløp i 1000 NOK) (2024)","323 882 (Beløp i 1000 NOK) (2024)","Tekniske konsulenter; Konsulenter; Produsenter; Elektroniske produkter og utstyr; Elektronikkproduksjon og utstyr","104","Kristiansand, 4623 Kristiansand S","2025-12-30 09:39:58.05+00",
,,"saint-gobain.no","Saint-Gobain","https://www.saint-gobain.no/","saint-gobain.no","991 212 531","https://www.proff.no/selskap/saint-gobain-distribution-norway-as/oslo/t%C3%B8mmer-trelast-og-byggevarer-agentur-og-engros/IGE54HF10LA","NOK 354,617,000 (2024)","NOK 175,186,000 (2024)","Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr","168","Brynsalléen 2, 0667 Oslo","2025-12-27 09:39:58.204+00",
