"Rows from: Konfitech Targets - Nikolai - 2nd and 3rd connections Norway relevant","id","company_key","name","domain","clean_domain","orgnr","proff_url","profit_before_tax","turnover","industry","company_size","location","created_at","updated_at"
,,"Akershus Energi Varme AS","Akershus Energi Varme AS","","",,,,,"","0","",,
,,"digital-mirror.ai","Digital Mirror","digital-mirror.ai","digital-mirror.ai",,,,,"Software Development","19","",,
,,"landskap.no","Braathen Landskapsentreprenør As","www.landskap.no","landskap.no",,,,,"Civil Engineering","76","Norway",,
,,"andoyaspace.no","Andøya Space","www.andoyaspace.no","andoyaspace.no",,,,,"Defense and Space Manufacturing","143","Andenes, Nordland, Norway",,
,,"&Hamlet","&Hamlet","","",,,,,"Real Estate","2","",,
,,"unefai.com","Unefai","www.unefai.com","unefai.com",,,,,"Technology, Information and Internet","3","",,
,,"aeracap.com","Æra Capital","www.aeracap.com","aeracap.com",,,,,"Financial Services","5","Oslo, Oslo, Norway",,
,,"consort.no","Consort As","www.consort.no","consort.no",,,,,"Financial Services","129","Trondheim, Trøndelag, Norway",,
,,"alphalens.com","Alphalens","alphalens.com","alphalens.com",,,,,"Technology, Information and Internet","12","Palo Alto, California, United States",,
,,"sikri.no","Sikri","www.sikri.no","sikri.no",,,,,"IT Services and IT Consulting","160","Oslo, Oslo, Norway",,
,,"nsg.no","Norsk Sau Og Geit","nsg.no","nsg.no",,,,,"Non-profit Organizations","12","Norway",,
,,"surplusmap.com","Surplusmap","www.surplusmap.com","surplusmap.com",,,,,"Climate Data and Analytics","11","Oslo, Oslo, Norway",,
,,"Vipps Mobilepay","Vipps Mobilepay","","",,,,,"Financial Services","466","Oslo, Oslo, Norway",,
,,"equinor.com","Equinor","www.equinor.com","equinor.com",,,,,"Oil and Gas","16797","Norway",,
,,"railsupport.no","Railsupport As","www.railsupport.no","railsupport.no",,,,,"Transportation/Trucking/Railroad","21","Oslo, Oslo, Norway",,
,,"Haf Power Solutions As","Haf Power Solutions As","","",,,,,"Maritime Transportation","14","Trondheim, Trøndelag, Norway",,
,,"cavour.com","Cavour","cavour.com","cavour.com",,,,,"Retail","84","Oslo, Oslo, Norway",,
,,"smartocean.com","Smart Ocean","www.smartocean.com","smartocean.com",,,,,"Fisheries","26","Grimstad, Agder, Norway",,
,,"lenovo.com","Lenovo","www.lenovo.com","lenovo.com",,,,,"IT Services and IT Consulting","45250","Morrisville, North Carolina, United States",,
,,"koderiet.no","Koderiet","www.koderiet.no","koderiet.no",,,,,"IT Services and IT Consulting","4","Sandefjord, Vestfold og Telemark, Norway",,
,,"sundaypower.no","Sunday Power","sundaypower.no","sundaypower.no",,,,,"Solar Electric Power Generation","24","Oslo, Oslo, Norway",,
,,"lifecare.no","Lifecare As","www.lifecare.no","lifecare.no",,,,,"Medical Equipment Manufacturing","44","Bergen, Vestland, Norway",,
,,"oslodigital.com","Oslo Digital","www.oslodigital.com","oslodigital.com",,,,,"Business Consulting and Services","2","Oslo, Oslo, Norway",,
,,"remarkable.com","Remarkable","remarkable.com","remarkable.com",,,,,"Computers and Electronics Manufacturing","628","Norway",,
,,"brainwells.com","Brainwells","www.brainwells.com","brainwells.com",,,,,"Business Consulting and Services","2","Oslo, Oslo, Norway",,
,,"kinland.no","Kinland","kinland.no","kinland.no",,,,,"Real Estate","9","Oslo, Oslo, Norway",,
,,"longfarm.no","Longfarm Capital","www.longfarm.no","longfarm.no",,,,,"Financial Services","1","",,
,,"comfycom.com","Comfycom","comfycom.com","comfycom.com",,,,,"Telecommunications","1","Oslo, Oslo, Norway",,
,,"pistachioapp.com","Pistachio","pistachioapp.com","pistachioapp.com",,,,,"Computer and Network Security","123","Oslo, Oslo, Norway",,
,,"fieldmind.ai","Fieldmind","fieldmind.ai","fieldmind.ai",,,,,"Agriculture, Construction, Mining Machinery Manufacturing","2","Oslo, Oslo, Norway",,
,,"crstadvisory.com","Crst Advisory","crstadvisory.com","crstadvisory.com",,,,,"Business Consulting and Services","2","Oslo, Oslo, Norway",,
,,"utilitycloud.tech","Utilitycloud","www.utilitycloud.tech","utilitycloud.tech",,,,,"Information Technology & Services","32","Oslo, Oslo, Norway",,
,,"portunus.uk","Portunus Solutions","portunus.uk","portunus.uk",,,,,"Renewable Energy Equipment Manufacturing","4","London, England, United Kingdom",,
,,"ahodzil.com","Ahodzil","ahodzil.com","ahodzil.com",,,,,"Software Development","3","Oslo, Oslo, Norway",,
,,"Ovun As","Ovun As","","",,,,,"Manufacturing","44","Åndalsnes, Møre og Romsdal, Norway",,
,,"waterwell.no","Waterwell","www.waterwell.no","waterwell.no",,,,,"Food & Beverages","4","Trondheim Region",,
,,"Husleiestrøm","Husleiestrøm","","",,,,,"Utilities","1","Oslo, Oslo, Norway",,
,,"Kristiansund og Nordmøre Næringsforening AS","Kristiansund og Nordmøre Næringsforening AS","","",,,,,"","0","",,
,,"nortech.ai","Nortech Ai","www.nortech.ai","nortech.ai",,,,,"IT Services and IT Consulting","23","Bergen, Vestland, Norway",,
,,"spirare.com","Diagnostica As | Spirare","www.spirare.com","spirare.com",,,,,"Medical Equipment Manufacturing","11","Oslo, Oslo, Norway",,
,,"flexlng.com","Flex Lng","www.flexlng.com","flexlng.com",,,,,"Maritime Transportation","257","Pembroke, Pembroke Parish, Bermuda",,
,,"spama.no","Spama","www.spama.no","spama.no",,,,,"Financial Services","32","Gamle Oslo, Oslo, Norway",,
,,"markular.com","Markular","www.markular.com","markular.com",,,,,"IT Services and IT Consulting","3","Greater Stavanger Region",,
,,"regnskapnorge.no","Regnskap Norge","www.regnskapnorge.no","regnskapnorge.no",,,,,"Accounting","99","Oslo, Oslo, Norway",,
,,"eikmanagement.no","Eik Management As","www.eikmanagement.no","eikmanagement.no",,,,,"Business Consulting and Services","13","Norway",,
,,"Locat3D As","Locat3D As","","",,,,,"Software Development","9","Mo i Rana, Nordland, Norway",,
,,"noisolation.com","No Isolation","www.noisolation.com","noisolation.com",,,,,"Education","89","Oslo, Oslo, Norway",,
,,"diggecard.com","Diggecard","www.diggecard.com","diggecard.com",,,,,"IT Services and IT Consulting","35","Wokingham, England, United Kingdom",,
,,"Seismic Partner","Seismic Partner","","",,,,,"Oil and Gas","6","Stavanger, Rogaland, Norway",,
,,"eld365.io","Eld365","www.eld365.io","eld365.io",,,,,"Construction","6","Ålesund, Møre og Romsdal, Norway",,
,,"Marmaclub AS","Marmaclub AS","","",,,,,"","0","",,
,,"dkp.no","Drammen Kommunale Pensjonskasse","www.dkp.no","dkp.no",,,,,"Government Administration","12","Drammen, Viken, Norway",,
,,"sandcatch.no","Sandcatch Solutions","www.sandcatch.no","sandcatch.no",,,,,"Environmental Services","3","Bryne, Rogaland, Norway",,
,,"arcline-ai.com","Arcline Ai","www.arcline-ai.com","arcline-ai.com",,,,,"Software Development","4","Oslo, Oslo, Norway",,
,,"nordicarch.com","Nordic Office Of Architecture","nordicarch.com","nordicarch.com",,,,,"Architecture and Planning","234","Oslo, Oslo, Norway",,
,,"keelspot.com","Keelspot","www.keelspot.com","keelspot.com",,,,,"Transportation, Logistics, Supply Chain and Storage","6","Bergen, Vestland, Norway",,
,,"emlogic.no","Emlogic As","www.emlogic.no","emlogic.no",,,,,"IT Services and IT Consulting","48","Drammen, Viken, Norway",,
,,"beyond-associes.com","Beyond Associés","www.beyond-associes.com","beyond-associes.com",,,,,"Business Consulting and Services","32","Paris, Île-de-France, France",,
,,"aquaticode.com","Aquaticode","aquaticode.com","aquaticode.com",,,,,"Software Development","13","Stavanger, Rogaland, Norway",,
,,"norsea.com","Norsea","norsea.com","norsea.com",,,,,"Transportation, Logistics, Supply Chain and Storage","283","Norway",,
,,"nøste.com","Nøste Energi As","nøste.com","nøste.com",,,,,"Electrical Equipment Manufacturing","4","Norway",,
,,"miljonorge.no","Miljø Norge As","miljonorge.no","miljonorge.no",,,,,"Environmental Services","11","Norway",,
,,"qoblex.com","Qoblex","qoblex.com","qoblex.com",,,,,"Software Development","9","Oslo, Oslo, Norway",,
,,"bulkinfrastructure.com","Bulk Data Centers","bulkinfrastructure.com","bulkinfrastructure.com",,,,,"IT Services and IT Consulting","55","Oslo, Oslo, Norway",,
,,"eyer.ai","Eyer","www.eyer.ai","eyer.ai",,,,,"Information Services","8","Oslo, Oslo, Norway",,
,,"asistobe.com","Asistobe As","asistobe.com","asistobe.com",,,,,"IT Services and IT Consulting","15","Bergen, Vestland, Norway",,
,,"cuttingroom.com","Cuttingroom","cuttingroom.com","cuttingroom.com",,,,,"Media Production","10","Bergen, Vestland, Norway",,
,,"imarex.no","Imarex Technology As","www.imarex.no","imarex.no",,,,,"Data Infrastructure and Analytics","12","Oslo, Oslo, Norway",,
,,"techouse.no","Techouse As","techouse.no","techouse.no",,,,,"Oil and Gas","123","Sandnes, Rogaland, Norway",,
,,"izy.no","Izy As","www.izy.no","izy.no",,,,,"Information Technology & Services","20","Oslo, Oslo, Norway",,
